,sample_names.1.,Phylum,Class,Order,Family,Genus,SUM
177,FS891_RNA,Cnidaria,Scyphozoa,Semaeostomeae,Semaeostomeae_fa,Semaeostomeae_ge,4283
178,FS891_RNA,Coprothermobacteraeota,Coprothermobacteria,Coprothermobacterales,Coprothermobacteraceae,Coprothermobacter,131
179,FS891_RNA,Crenarchaeota,Crenarchaeota_Incertae_Sedis,Aigarchaeales,Caldiarchaeaceae,Candidatus_Caldiarchaeum,33
180,FS891_RNA,Crenarchaeota,Crenarchaeota_Incertae_Sedis,Aigarchaeales,Terrestrial_Hot_Spring_Gp(THSCG),Terrestrial_Hot_Spring_Gp(THSCG)_ge,1
181,FS891_RNA,Crenarchaeota,Crenarchaeota_unclassified,Crenarchaeota_unclassified,Crenarchaeota_unclassified,Crenarchaeota_unclassified,65
182,FS891_RNA,Crenarchaeota,Thermoprotei,Desulfurococcales,Acidilobaceae,Acidilobaceae_unclassified,40
183,FS891_RNA,Crenarchaeota,Thermoprotei,Desulfurococcales,Acidilobaceae,Aeropyrum,189
184,FS891_RNA,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcales_unclassified,Desulfurococcales_unclassified,346
185,FS891_RNA,Crenarchaeota,Thermoprotei,Desulfurococcales,Ignicoccaceae,Ignicoccus,125
186,FS891_RNA,Crenarchaeota,Thermoprotei,Desulfurococcales,Ignisphaeraceae,Ignisphaeraceae_unclassified,8
187,FS891_RNA,Crenarchaeota,Thermoprotei,Desulfurococcales,Ignisphaeraceae,uncultured,23
188,FS891_RNA,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,302
189,FS891_RNA,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,3
190,FS891_RNA,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteales_unclassified,Thermoproteales_unclassified,26
191,FS891_RNA,Crenarchaeota,Thermoprotei,Thermoprotei_unclassified,Thermoprotei_unclassified,Thermoprotei_unclassified,207
192,FS891_RNA,Ctenophora,Ctenophora_unclassified,Ctenophora_unclassified,Ctenophora_unclassified,Ctenophora_unclassified,8
193,FS891_RNA,Ctenophora,Tentaculata,Cydippida,Cydippida_fa,Cydippida_ge,7
194,FS891_RNA,Ctenophora,Tentaculata,Tentaculata_unclassified,Tentaculata_unclassified,Tentaculata_unclassified,3
195,FS891_RNA,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,88
196,FS891_RNA,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,58
197,FS891_RNA,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobiaceae_unclassified,1
198,FS891_RNA,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,6
199,FS891_RNA,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcales_unclassified,Deinococcales_unclassified,1
200,FS891_RNA,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,19
201,FS891_RNA,Deinococcus-Thermus,Deinococci,Deinococci_unclassified,Deinococci_unclassified,Deinococci_unclassified,1
202,FS891_RNA,Dependentiae,Babeliae,Babeliales,Babeliales_fa,Babeliales_ge,90
203,FS891_RNA,Dependentiae,Babeliae,Babeliales,Babeliales_unclassified,Babeliales_unclassified,93
204,FS891_RNA,Dependentiae,Babeliae,Babeliales,UBA12411,UBA12411_ge,4
205,FS891_RNA,Diapherotrites,Diapherotrites_unclassified,Diapherotrites_unclassified,Diapherotrites_unclassified,Diapherotrites_unclassified,41
206,FS891_RNA,Diapherotrites,Iainarchaeia,Iainarchaeales,Iainarchaeales_fa,Iainarchaeales_ge,35
207,FS891_RNA,Diapherotrites,Iainarchaeia,Iainarchaeia_or,Iainarchaeia_fa,Iainarchaeia_ge,224
208,FS891_RNA,Diapherotrites,Iainarchaeia,Iainarchaeia_unclassified,Iainarchaeia_unclassified,Iainarchaeia_unclassified,2
209,FS891_RNA,Diapherotrites,Micrarchaeia,Micrarchaeia_or,Micrarchaeia_fa,Micrarchaeia_ge,1
210,FS891_RNA,Dinoflagellata,Dinoflagellata_unclassified,Dinoflagellata_unclassified,Dinoflagellata_unclassified,Dinoflagellata_unclassified,8
211,FS891_RNA,Dinoflagellata,Dinophyceae,Dinophyceae_unclassified,Dinophyceae_unclassified,Dinophyceae_unclassified,303
212,FS891_RNA,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae_unclassified,Gymnodiniphycidae_unclassified,79
213,FS891_RNA,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Chytriodinium,1
214,FS891_RNA,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Gymnodinium_clade_unclassified,103
215,FS891_RNA,Echinodermata,Holothuroidea,Holothuroidea_or,Holothuroidea_fa,Holothuroidea_ge,11
216,FS891_RNA,Echinodermata,Ophiuroidea,Ophiuroidea_or,Ophiuroidea_fa,Ophiuroidea_ge,9
217,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,31547
218,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,169
219,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_Incertae_Sedis,Thiofractor,523
220,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,24297
221,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,CH8-1-BAC,CH8-1-BAC_ge,125
222,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacteraceae_ge,1
223,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacteraceae_unclassified,7
224,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,uncultured,838
225,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,682
226,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,527
227,FS891_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,309
